Time		Cap_one		Cap_two		Cap_three		Cap_four
   54.6022		5502494		2591609		1733062		2386330	
   54.7991		5506989		2592550		1793825		2383854	
   55.0000		5509863		2589519		1822888		2384877	
   55.1963		5507930		2591400		1811263		2386168	
   55.3969		5514306		2586801		1773373		2383585	
   55.5944		5503696		2591243		1822188		2386007	
   55.7943		5509027		2591191		1811586		2387083	
   55.9912		5507041		2591139		1832952		2387191	
   56.1889		5501554		2590878		1806742		2387029	
   56.3889		5498313		2590303		1846300		2384607	
   56.5849		5498679		2591766		1817829		2382670	
   56.7882		5500090		2590668		1808679		2385092	
   56.9820		5507041		2587690		1739521		2381863	
   57.1823		5508922		2589623		1740920		2377934	
   57.3785		5504637		2588212		1877246		2382455	
   57.5798		5510752		2589362		1831499		2386437	
   57.7765		5508347		2591504		1784460		2386384	
   57.9768		5503331		2588682		1795332		2385415	
   58.1731		5503122		2592236		1792695		2384500	
   58.3745		5499463		2591452		1835213		2385684	
   58.5711		5506257		2589257		1724074		2386599	
   58.7715		5493192		2591452		1807980		2380356	
   58.9680		5507721		2588108		1802436		2381755	
   59.1697		5505996		2591766		1829723		2380194	
   59.3658		5512529		2589310		1758627		2382562	
   59.5661		5501867		2591296		1786398		2389021	
   59.7630		5503749		2591923		1833167		2383262	
   59.9630		5505944		2591609		1808895		2387890	
   60.1600		5506362		2590564		1801468		2384607	
   60.3564		5507668		2592393		1861692		2386114	
   60.5581		5491781		2589466		1920141		2382239	
   60.7545		5509079		2590668		1855503		2382509	
   60.9552		5504533		2591243		1798830		2385845	
   61.1512		5501188		2588996		1799368		2383692	
   61.3525		5507198		2586174		1761103		2384446	
   61.5493		5498523		2591296		1739467		2389129	
   61.7493		5508870		2592550		1768745		2383154	
   61.9475		5501031		2591870		1774288		2389397	
   62.1465		5505682		2589937		1708090		2385953	
   62.3432		5495178		2590930		1843663		2384984	
   62.5435		5507564		2590093		1815461		2384984	
   62.7406		5490683		2591139		1791995		2387191	
   62.9425		5502860		2591452		1778433		2385146	
   63.1382		5511431		2589623		1814869		2384715	
   63.3385		5499045		2590668		1837904		2384607	
   63.5356		5496537		2591923		1730856		2387514	
   63.7360		5510020		2590721		1852166		2383962	
   63.9326		5507721		2591818		1827516		2383531	
   64.1291		5504533		2589989		1761856		2387675	
   64.3297		5494708		2590616		1836343		2384069	
   64.5263		5501501		2592184		1775849		2382885	
   64.7291		5502285		2590982		1802329		2382186	
   64.9232		5498052		2588369		1823588		2391066	
   65.1249		5503122		2591034		1753460		2382024	
   65.3216		5511379		2590041		1839034		2384123	
   65.5216		5508870		2591348		1778540		2386491	
   65.7183		5502965		2590251		1771867		2386384	
   65.9184		5497582		2591714		1776603		2384661	
   66.1161		5511588		2588108		1780209		2386653	
   66.3165		5505264		2590982		1787044		2387729	
   66.5130		5497321		2589728		1757227		2386114	
   66.7157		5500195		2590355		1764762		2387406	
   66.9194		5505891		2588526		1886557		2383692	
   67.1182		5517911		2591766		1764708		2384661	
   67.3091		5499411		2587951		1736991		2383154	
   67.5213		5510334		2589623		1762932		2384607	
   67.7115		5510490		2594118		1866482		2382831	
   67.9057		5505891		2591870		1795332		2387568	
   68.1027		5498209		2591714		1794740		2386760	
   68.3044		5508295		2591034		1742319		2386114	
   68.4998		5503905		2589780		1749962		2380463	
   68.6962		5506048		2590825		1797324		2385415	
   68.8963		5499568		2589153		1828108		2383531	
   69.0940		5501292		2591348		1715086		2382778	
   69.2941		5504951		2590878		1855611		2382616	
   69.4910		5503487		2589414		1787367		2384931	
   69.6935		5502808		2589937		1746464		2387729	
   69.8897		5509027		2589832		1720415		2381378	
   70.0889		5514567		2588944		1753245		2384769	
   70.2857		5505421		2588944		1806634		2382939	
   70.4860		5493192		2592707		1764170		2387837	
   70.6825		5502337		2592445		1788605		2383639	
   70.8826		5511379		2588369		1791457		2387514	
   71.0795		5502599		2591139		1717347		2386814	
   71.2811		5511483		2590512		1791726		2381863	
   71.4777		5504898		2589937		1778756		2385684	
   71.6777		5497111		2588474		1741943		2383047	
   71.8751		5513469		2592079		1829077		2382401	
   72.0751		5499150		2589885		1779509		2386330	
   72.2720		5507773		2590512		1740490		2380463	
   72.4719		5498523		2590825		1766054		2382024	
   72.6687		5504637		2589728		1764816		2382670	
   72.8653		5505316		2591400		1764816		2383101	
   73.0669		5504323		2589728		1797108		2381486	
   73.2630		5504323		2591766		1808625		2382509	
   73.4632		5504585		2590198		1808087		2385899	
   73.6597		5503958		2593177		1742050		2377019	
   73.8621		5493976		2591191		1779617		2386276	
   74.0573		5497321		2588055		1810509		2382616	
   74.2595		5501345		2590721		1771813		2381970	
   74.4554		5502965		2592602		1722567		2384931	
